0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:21 +0900] "GET /placeholders.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:21 +0900] "GET /css/common.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:21 +0900] "GET /jscript/2.0/member.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:21 +0900] "GET /images/skin/topseach_iconset_like.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /OAuth/oauth2.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /placeholders.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /dummy.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /css/common.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /jscript/2.0/member.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "POST /common/ajax/exec_getCartCnt.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "POST /common/ajax/exec_getCartCnt.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /common/ajax/exec_fullCategory.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:22 +0900] "GET /css/images/ico_select.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /member/join.jsp HTTP/1.1" 200 321544
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /data/sungsimdang/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /placeholders.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /OAuth/oauth2.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /css/common.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:32 +0900] "GET /jscript/2.0/member.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /images/skin/topseach_iconset_like.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /OAuth/oauth2.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /placeholders.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /dummy.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /css/common.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /jscript/2.0/member.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "POST /common/ajax/exec_getCartCnt.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "POST /common/ajax/exec_getCartCnt.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /common/ajax/exec_fullCategory.asp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:33 +0900] "GET /css/images/ico_select.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [08/Jan/2022:00:16:53 +0900] "GET /member/join.jsp HTTP/1.1" 200 321570
